,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
86,Santa Rosalía,27.3167,-112.2833,67.87,27,75,12.71
87,Kavieng,-2.5744,150.7967,82.71,78,100,7.11
88,Pochutla,15.7432,-96.4661,86.0,62,40,17.27
89,Mareeba,-17.0,145.4333,84.0,69,63,2.3
90,Kalmunai,7.4167,81.8167,77.92,81,89,2.68
91,Bambous Virieux,-20.3428,57.7575,77.0,94,40,3.44
92,Lorengau,-2.0226,147.2712,83.35,76,95,4.92
93,Wenatchee,47.4235,-120.3103,53.01,28,75,20.71
94,Leningradskiy,69.3833,178.4167,-9.51,81,10,2.44
95,Binghamton,42.0987,-75.918,57.2,18,1,4.61
96,Libreville,0.3925,9.4537,77.0,94,20,3.44
97,Vanimo,-2.6741,141.3028,80.67,84,76,2.26
98,Nikolskoye,59.7035,30.7861,24.01,73,0,6.71
99,New Norfolk,-42.7826,147.0587,66.0,61,94,2.37
100,Severo-Kuril'sk,50.6789,156.125,31.21,79,60,22.93
101,Richards Bay,-28.783,32.0377,67.71,83,70,6.08
102,Paamiut,61.994,-49.6678,18.88,69,100,6.78
103,Yulara,-25.2406,130.9889,68.0,100,90,4.61
104,Poum,-20.2333,164.0167,80.42,68,99,13.04
105,Kaitangata,-46.2817,169.8464,63.0,94,33,2.84
106,Atuona,-9.8,-139.0333,80.69,70,6,17.69
107,George Town,5.4112,100.3354,82.0,83,20,1.14
108,Navalcarnero,40.2891,-4.012,50.0,50,0,3.44
109,San Quintín,30.4833,-115.95,61.38,65,81,16.71
110,Lebu,-37.6167,-73.65,57.02,84,34,9.64
111,Cidreira,-30.1811,-50.2056,73.6,71,100,8.68
112,Lusambo,-4.9667,23.45,68.4,97,65,1.3
113,Beira,-19.8436,34.8389,82.4,78,20,9.22
114,Chokurdakh,70.6333,147.9167,-19.46,98,52,4.7
115,Chabahar,25.2919,60.643,75.51,64,1,9.57
116,Saint-Pierre,-21.3393,55.4781,78.8,78,40,5.75
117,Asău,46.4333,26.4,32.0,43,98,6.73
118,Upernavik,72.7868,-56.1549,-8.79,96,100,7.67
119,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,69,75,11.18
120,Meulaboh,4.1363,96.1285,75.69,86,100,3.49
121,Goderich,43.7501,-81.7165,59.0,36,99,12.66
122,Mgachi,51.05,142.2667,25.18,79,18,6.22
123,Amoy,24.4798,118.0819,57.2,58,0,11.18
124,Northam,51.0333,-4.2167,43.0,91,96,3.0
125,Mosquera,4.7059,-74.2302,53.6,94,90,8.05
126,Port Lincoln,-34.7333,135.8667,67.08,78,2,8.23
127,Kapoeta,4.7717,33.5903,84.09,30,87,2.66
128,Norman Wells,65.282,-126.8329,-0.4,65,75,8.05
129,Lompoc,34.6391,-120.4579,59.0,63,20,16.11
130,Sioux Lookout,50.1001,-91.917,41.0,30,20,2.3
131,Bara,10.3744,10.7288,87.33,43,50,15.48
132,Husavik,66.0449,-17.3389,37.4,44,40,10.36
133,Hithadhoo,-0.6,73.0833,83.1,72,11,10.29
134,Hobart,-42.8794,147.3294,68.0,72,75,8.05
135,Ulcinj,41.9294,19.2244,44.6,36,0,20.71
136,Boca do Acre,-8.7522,-67.3978,71.92,96,100,2.86
137,Puerto Ayora,-0.7393,-90.3518,84.2,70,40,9.22
138,Samaná,19.2056,-69.3369,73.4,100,75,3.89
139,Ixtapa,20.7,-105.2,77.0,61,20,16.11
140,Hermanus,-34.4187,19.2345,66.0,76,0,8.99
141,Nicoya,10.1483,-85.452,87.8,42,40,11.5
142,Miguel Auza,24.2933,-103.4503,77.76,9,84,31.03
143,Birao,10.2849,22.7882,83.41,43,97,5.97
144,Aswān,24.0934,32.907,85.1,24,2,9.01
145,Port Alfred,-33.5906,26.891,65.62,80,41,8.61
146,Simojovel,17.1391,-92.7103,79.81,57,1,3.53
147,Dikson,73.5069,80.5464,-11.4,75,100,1.34
148,Allonnes,47.9674,0.1581,35.6,87,0,2.3
149,Harrai,22.6167,79.2167,74.71,32,38,1.99
150,Montague,42.5356,-72.5351,57.2,28,1,5.75
151,Limbaži,57.5129,24.7194,27.0,95,85,0.85
152,Revelstoke,50.9832,-118.2023,46.4,53,90,8.05
153,Codrington,-38.2667,141.9667,64.27,88,100,4.18
154,Belaya Gora,68.5333,146.4167,-11.4,98,100,7.27
155,Borbon,10.838,124.0297,84.2,65,40,11.5
156,Fairbanks,64.8378,-147.7164,26.6,28,40,8.05
157,San Policarpo,12.1791,125.5072,80.1,83,96,18.95
158,Kahului,20.8947,-156.47,80.6,57,40,21.85
159,Qasigiannguit,68.8193,-51.1922,1.4,85,90,10.36
160,Weihai,37.5017,122.1136,44.42,47,0,11.56
161,Whitehorse,60.7161,-135.0538,21.99,49,20,2.3
162,Tabuk,17.4189,121.4443,70.57,94,100,8.08
163,Coyhaique,-45.5752,-72.0662,60.8,63,75,5.75
164,Cayenne,4.9333,-52.3333,78.01,94,75,9.22
165,Saint Paul Harbor,57.79,-152.4072,35.6,75,90,3.44
166,Sibu,2.3,111.8167,73.4,100,40,2.37
167,Hoi An,15.8794,108.335,68.0,94,75,1.14
168,Klaksvík,62.2266,-6.589,42.8,87,75,3.44
169,Endwell,42.1129,-76.021,57.2,18,1,4.61
170,Iqaluit,63.7506,-68.5145,-18.0,63,20,18.41
171,Tuatapere,-46.1333,167.6833,55.99,95,81,1.01
172,Ancud,-41.8697,-73.8203,62.6,59,0,5.75
173,San Joaquin,37.9333,-121.3011,66.0,48,1,12.66
174,Tigre,-34.426,-58.5796,70.0,68,0,4.61
175,Luancheng,37.8792,114.6517,46.4,39,0,8.95
176,Yar-Sale,66.8333,70.8333,-7.29,100,100,5.95
177,Grindavik,63.8424,-22.4338,37.4,60,75,31.07
178,Srednekolymsk,67.45,153.6833,-0.62,83,99,11.01
179,Morehead,37.2711,-87.1764,68.0,28,40,9.22
180,Namatanai,-3.6667,152.4333,84.29,69,53,5.32
181,Olinda,-8.0089,-34.8553,80.6,69,40,8.05
182,Pangnirtung,66.1451,-65.7125,-18.4,76,20,5.75
183,Junction City,39.0286,-96.8314,55.4,87,90,12.66
184,Distrikt Brokopondo,4.75,-55.1667,76.24,89,88,10.36
185,Vrangel',42.7297,133.0839,36.41,71,9,1.59
186,Chui,-33.6971,-53.4616,67.96,68,95,7.81
187,Nambucca Heads,-30.65,153.0,69.8,88,75,16.11
188,Prainha,-1.8,-53.48,75.15,93,98,3.11
189,Sabang,5.8933,95.3214,84.09,68,100,17.05
190,Independência,-5.3964,-40.3086,71.91,87,40,2.84
191,Talovaya,51.1144,40.73,30.4,72,99,6.69
192,Tianpeng,30.9866,103.9393,46.99,1,7,1.54
193,Iracoubo,5.4802,-53.2011,76.33,89,100,7.87
194,Maku,39.2911,44.4521,44.42,78,19,7.63
195,Campoverde,-8.4753,-74.8058,82.4,69,40,5.75
196,Kuah,6.3265,99.8432,82.4,74,20,6.91
197,Evensk,61.95,159.2333,12.2,92,100,33.64
198,Constitución,-35.3333,-72.4167,60.58,73,13,10.92
199,Tilichiki,60.4667,166.1,27.99,94,100,39.28
200,Russell,32.3502,-85.1999,73.4,40,20,6.91
201,Bagalkot,16.1833,75.7,80.26,32,21,5.93
202,Kiunga,-6.1219,141.2906,78.03,91,83,1.41
203,Galesong,-5.3166,119.3661,75.2,100,40,5.75
204,Port Blair,11.6667,92.75,80.89,70,95,5.48
205,Kokstad,-30.5472,29.4241,48.83,96,4,2.59
206,Verkhoyansk,67.5447,133.385,-12.86,95,92,4.97
207,São José da Coroa Grande,-8.8978,-35.1478,79.29,74,69,8.03
208,Yellowknife,62.456,-114.3525,0.0,46,20,8.05
209,São João da Barra,-21.6403,-41.0511,77.02,87,16,10.0
210,Lüderitz,-26.6481,15.1594,66.11,80,71,6.35
211,Sarkand,45.41,79.9186,38.93,62,100,6.58
212,Vao,-22.6667,167.4833,75.87,65,100,15.55
213,Santa Maria,-29.6842,-53.8069,73.4,83,40,6.91
214,Sinnamary,5.3833,-52.95,76.28,90,100,8.37
215,Xuanzhou,30.9525,118.7553,43.93,66,12,4.56
216,San Cristobal,7.7669,-72.225,78.8,78,40,5.75
217,Phan Thiet,10.9333,108.1,74.53,74,76,8.01
218,Novokizhinginsk,51.6115,109.5917,28.29,83,58,8.93
219,Albertville,34.2676,-86.2089,68.0,45,1,5.75
220,Kailua,21.4022,-157.7394,80.6,61,75,9.22
221,Poya,-21.35,165.15,81.7,60,88,3.51
222,Mâncio Lima,-7.6142,-72.8958,74.55,89,70,2.8
223,Makakilo City,21.3469,-158.0858,80.6,54,90,12.66
224,Krasnosel'kup,65.7,82.4667,0.3,94,100,8.14
225,Kantemirovka,49.7089,39.8592,34.56,64,100,3.94
226,Hong Kong,22.2855,114.1577,64.99,65,98,1.99
227,Williamsburg,37.2707,-76.7075,60.8,63,1,3.44
228,Gimli,50.6336,-96.9907,33.8,69,37,8.05
229,Ponta do Sol,32.6667,-17.1,60.8,67,40,10.36
230,Kuusankoski,60.907,26.6244,19.0,53,0,2.3
231,Hualmay,-11.0964,-77.6139,72.77,80,67,10.16
232,Solhan,38.9634,41.0293,42.62,93,99,2.01
233,Harper,4.375,-7.7169,78.49,86,100,8.03
234,Ahipara,-35.1667,173.1667,69.82,52,50,1.59
235,Hokitika,-42.7167,170.9667,61.09,78,72,3.36
236,Pokhara,28.2333,83.9833,65.61,18,0,8.25
237,Nuquí,5.7125,-77.2708,79.65,81,90,6.04
238,Lakes Entrance,-37.8811,147.981,63.0,97,100,5.01
239,Tabory,58.5198,64.5495,14.77,94,43,6.29
240,Margate,51.3813,1.3862,43.0,83,48,1.01
241,Mirandela,41.4874,-7.187,37.99,30,49,2.46
242,Saucillo,28.0167,-105.2833,77.79,2,69,30.74
243,Sibi,29.5448,67.8764,67.93,58,11,3.04
244,Muroto-misakicho,33.2833,134.15,44.6,65,20,8.05
245,Ambilobe,-13.2,49.05,73.72,95,99,3.22
246,Pevek,69.7008,170.3133,-17.32,94,27,2.57
247,Tezu,27.9167,96.1667,69.55,31,9,4.38
248,Tekkali,18.6167,84.2333,75.72,67,5,4.29
249,Maceió,-9.6658,-35.7353,80.6,83,75,5.75
250,Brae,60.3964,-1.353,46.4,93,40,21.85
251,Port Macquarie,-31.4333,152.9167,69.8,94,90,12.66
252,San Fernando del Valle de Catamarca,-28.4696,-65.7852,69.01,92,96,5.26
253,Tsiroanomandidy,-18.7667,46.0333,65.97,97,94,1.19
254,Waipawa,-41.4122,175.5153,63.0,77,79,8.05
255,Augustów,53.8432,22.9798,32.11,86,100,9.1
256,Inhambane,-23.865,35.3833,75.09,74,95,11.39
257,Caravelas,-17.7125,-39.2481,76.12,82,0,5.5
258,Qaanaaq,77.484,-69.3632,-15.23,75,97,5.48
259,La Rioja,42.25,-2.5,41.0,81,0,9.22
260,Mogadishu,2.0371,45.3438,79.72,78,9,19.6
261,Aksarka,66.5606,67.7975,-3.44,100,99,2.3
262,Tabou,4.423,-7.3528,78.33,87,93,8.28
263,Irtyshskiy,58.3333,68.1333,12.47,96,93,6.42
264,Vila Franca do Campo,37.7167,-25.4333,59.0,82,75,4.61
265,Payson,40.0444,-111.7321,44.01,49,90,5.75
266,Sydney,-33.8679,151.2073,66.0,99,100,3.0
267,Acapulco de Juárez,16.8634,-99.8901,84.2,61,1,6.91
268,Merrill,45.1805,-89.6835,64.4,25,1,3.44
269,Bonavista,48.6499,-53.1147,42.8,52,42,12.66
270,Tutóia,-2.7619,-42.2744,78.21,79,68,6.17
271,Ilulissat,69.2167,-51.1,1.4,85,90,10.36
272,Mandalgovi,45.7625,106.2708,31.32,41,100,9.93
273,Puerto Nariño,-3.7703,-70.3831,80.6,89,75,4.61
274,San Javier,37.8063,-0.8374,53.01,93,63,3.44
275,Saldanha,-33.0117,17.9442,71.6,49,0,2.3
276,Banda Aceh,5.5577,95.3222,79.38,77,100,9.08
277,Sohna,28.25,77.0667,75.2,57,40,5.75
278,Omsukchan,62.5333,155.8,7.12,94,100,8.63
279,Shimoda,34.6667,138.95,50.0,53,75,13.8
280,Hambantota,6.1241,81.1185,78.03,83,99,9.19
281,Rome,43.2128,-75.4557,64.4,17,1,3.44
282,Buala,-8.145,159.5921,84.4,70,33,7.45
283,Barrow,71.2906,-156.7887,-13.0,70,1,8.05
284,Maumere,-8.6199,122.2111,80.85,79,90,3.62
285,Progreso,21.2833,-89.6667,91.99,35,40,9.22
286,Ketchikan,55.3422,-131.6461,42.8,81,75,9.22
287,Isangel,-19.55,169.2667,80.6,83,75,5.75
288,Beringovskiy,63.05,179.3167,4.59,69,25,6.76
289,Biu,10.6129,12.1946,86.25,30,27,4.85
290,Qaqortoq,60.7167,-46.0333,19.4,53,75,3.44
291,Havre-St-Pierre,50.2334,-63.5986,39.2,60,1,16.11
